Connecting to host 10.223.62.39, port 5201
[  4] local 10.223.61.37 port 52934 connected to 10.223.62.39 port 5201
[  4] 40583.00-40584.00 sec  2.08 MBytes  17.4 Mbits/sec    2   91.9 KBytes       
[  4] 40584.00-40585.00 sec  2.32 MBytes  19.4 Mbits/sec    2   77.8 KBytes       
[  4] 40585.00-40586.00 sec  2.02 MBytes  16.9 Mbits/sec    4   69.3 KBytes       
[  4] 40586.00-40587.00 sec  2.08 MBytes  17.4 Mbits/sec    1   69.3 KBytes       
[  4] 40587.00-40588.00 sec  1.66 MBytes  13.9 Mbits/sec    0   84.8 KBytes       
[  4] 40588.00-40589.00 sec  1.37 MBytes  11.5 Mbits/sec   15   67.9 KBytes       
[  4] 40589.00-40590.00 sec  1.60 MBytes  13.4 Mbits/sec    0   82.0 KBytes       
[  4] 40590.00-40591.00 sec  1.43 MBytes  12.0 Mbits/sec    0   93.3 KBytes       
[  4] 40591.00-40592.00 sec  1.96 MBytes  16.4 Mbits/sec    0    107 KBytes       
[  4] 40592.00-40593.00 sec  2.20 MBytes  18.4 Mbits/sec    2   86.3 KBytes       
[  4] 40593.00-40594.00 sec  1.96 MBytes  16.4 Mbits/sec    4   69.3 KBytes       
[  4] 40594.00-40595.00 sec  2.08 MBytes  17.4 Mbits/sec    2   86.3 KBytes       
[  4] 40595.00-40596.00 sec  2.02 MBytes  16.9 Mbits/sec    0    103 KBytes       
[  4] 40596.00-40597.00 sec  1.84 MBytes  15.4 Mbits/sec    9   84.8 KBytes       
[  4] 40597.00-40598.00 sec  2.55 MBytes  21.4 Mbits/sec    0    102 KBytes       
[  4] 40598.00-40599.00 sec  2.02 MBytes  16.9 Mbits/sec    7   87.7 KBytes       
[  4] 40599.00-40600.00 sec  2.32 MBytes  19.4 Mbits/sec   12   76.4 KBytes       
[  4] 40600.00-40601.00 sec  2.43 MBytes  20.4 Mbits/sec    0   97.6 KBytes       
[  4] 40601.00-40602.00 sec  2.02 MBytes  16.9 Mbits/sec    1   80.6 KBytes       
[  4] 40602.00-40603.00 sec  2.38 MBytes  19.9 Mbits/sec    8   63.6 KBytes       
[  4] 40603.00-40604.00 sec  2.08 MBytes  17.4 Mbits/sec    2   58.0 KBytes       
[  4] 40604.00-40605.00 sec  2.32 MBytes  19.4 Mbits/sec    1   80.6 KBytes       
[  4] 40605.00-40606.00 sec  1.19 MBytes  9.95 Mbits/sec   14   65.0 KBytes       
[  4] 40606.00-40607.00 sec  2.32 MBytes  19.4 Mbits/sec    0   87.7 KBytes       
[  4] 40607.00-40608.00 sec  2.32 MBytes  19.4 Mbits/sec    4   77.8 KBytes       
[  4] 40608.00-40609.00 sec  1.96 MBytes  16.4 Mbits/sec    1   86.3 KBytes       
[  4] 40609.00-40610.00 sec  2.26 MBytes  18.9 Mbits/sec    0   86.3 KBytes       
[  4] 40610.00-40611.00 sec  2.26 MBytes  18.9 Mbits/sec    2   74.9 KBytes       
[  4] 40611.00-40612.00 sec  1.96 MBytes  16.4 Mbits/sec    2   91.9 KBytes       
[  4] 40612.00-40613.00 sec  1.84 MBytes  15.5 Mbits/sec    4    103 KBytes       
[  4] 40613.00-40614.00 sec  2.20 MBytes  18.4 Mbits/sec    3   90.5 KBytes       
[  4] 40614.00-40615.00 sec  2.32 MBytes  19.4 Mbits/sec    3    105 KBytes       
[  4] 40615.00-40616.00 sec  2.02 MBytes  16.9 Mbits/sec    0    117 KBytes       
[  4] 40616.00-40617.00 sec  2.38 MBytes  19.9 Mbits/sec   13   56.6 KBytes       
[  4] 40617.00-40618.00 sec  2.14 MBytes  17.9 Mbits/sec    2   70.7 KBytes       
[  4] 40618.00-40619.00 sec  2.14 MBytes  17.9 Mbits/sec    0   80.6 KBytes       
[  4] 40619.00-40620.00 sec  1.66 MBytes  13.9 Mbits/sec    0   96.2 KBytes       
[  4] 40620.00-40621.00 sec  2.02 MBytes  16.9 Mbits/sec    5   66.5 KBytes       
[  4] 40621.00-40622.00 sec  2.08 MBytes  17.4 Mbits/sec    6   60.8 KBytes       
[  4] 40622.00-40623.00 sec   304 KBytes  2.49 Mbits/sec   46   31.1 KBytes       
[  4] 40623.00-40624.00 sec   790 KBytes  6.48 Mbits/sec    0   46.7 KBytes       
[  4] 40624.00-40625.00 sec   912 KBytes  7.47 Mbits/sec    0   59.4 KBytes       
[  4] 40625.00-40626.00 sec  1.01 MBytes  8.47 Mbits/sec    1   70.7 KBytes       
[  4] 40626.00-40627.00 sec  1.01 MBytes  8.47 Mbits/sec    3   59.4 KBytes       
[  4] 40627.00-40628.00 sec  1.01 MBytes  8.47 Mbits/sec    0   73.5 KBytes       
[  4] 40628.00-40629.00 sec  1.01 MBytes  8.47 Mbits/sec   29   39.6 KBytes       
[  4] 40629.00-40630.00 sec  1.48 MBytes  12.5 Mbits/sec    3   42.4 KBytes       
[  4] 40630.00-40631.00 sec  1.60 MBytes  13.4 Mbits/sec   23   55.1 KBytes       
[  4] 40631.00-40632.00 sec  2.20 MBytes  18.4 Mbits/sec    3   46.7 KBytes       
[  4] 40632.00-40633.00 sec  2.20 MBytes  18.4 Mbits/sec    1   72.1 KBytes       
[  4] 40633.00-40634.00 sec  2.14 MBytes  17.9 Mbits/sec    1   79.2 KBytes       
[  4] 40634.00-40635.00 sec  2.08 MBytes  17.4 Mbits/sec    0   87.7 KBytes       
[  4] 40635.00-40636.00 sec  2.26 MBytes  18.9 Mbits/sec    0    105 KBytes       
[  4] 40636.00-40637.00 sec  1.96 MBytes  16.4 Mbits/sec   11   50.9 KBytes       
[  4] 40637.00-40638.00 sec  1.90 MBytes  15.9 Mbits/sec    1   59.4 KBytes       
[  4] 40638.00-40639.00 sec  2.20 MBytes  18.4 Mbits/sec    0   82.0 KBytes       
[  4] 40639.00-40640.00 sec  2.14 MBytes  17.9 Mbits/sec    1   72.1 KBytes       
[  4] 40640.00-40641.00 sec  2.08 MBytes  17.4 Mbits/sec    3   63.6 KBytes       
[  4] 40641.00-40642.00 sec  2.20 MBytes  18.4 Mbits/sec    1   74.9 KBytes       
[  4] 40642.00-40643.00 sec  2.14 MBytes  17.9 Mbits/sec    5   65.0 KBytes       
[  4] 40643.00-40644.00 sec  2.20 MBytes  18.4 Mbits/sec    0   87.7 KBytes       
[  4] 40644.00-40645.00 sec  2.32 MBytes  19.4 Mbits/sec    0    106 KBytes       
[  4] 40645.00-40646.00 sec  1.66 MBytes  13.9 Mbits/sec   10   86.3 KBytes       
[  4] 40646.00-40647.00 sec  2.08 MBytes  17.4 Mbits/sec    2   79.2 KBytes       
[  4] 40647.00-40648.00 sec  2.38 MBytes  19.9 Mbits/sec    8   76.4 KBytes       
[  4] 40648.00-40649.00 sec  2.14 MBytes  17.9 Mbits/sec    3   76.4 KBytes       
[  4] 40649.00-40650.00 sec  2.02 MBytes  16.9 Mbits/sec    0   94.7 KBytes       
[  4] 40650.00-40651.00 sec  2.14 MBytes  17.9 Mbits/sec    9   80.6 KBytes       
[  4] 40651.00-40652.00 sec   851 KBytes  6.98 Mbits/sec    5   63.6 KBytes       
[  4] 40652.00-40653.00 sec   730 KBytes  5.98 Mbits/sec    3   25.5 KBytes       
[  4] 40653.00-40654.00 sec   608 KBytes  4.98 Mbits/sec    2   45.2 KBytes       
[  4] 40654.00-40655.00 sec   790 KBytes  6.48 Mbits/sec    3   31.1 KBytes       
[  4] 40655.00-40656.00 sec  1.72 MBytes  14.4 Mbits/sec    0   60.8 KBytes       
[  4] 40656.00-40657.00 sec  1.96 MBytes  16.4 Mbits/sec    0   82.0 KBytes       
[  4] 40657.00-40658.00 sec  2.08 MBytes  17.4 Mbits/sec    6   73.5 KBytes       
[  4] 40658.00-40659.00 sec  1.37 MBytes  11.5 Mbits/sec    9   63.6 KBytes       
[  4] 40659.00-40660.00 sec  2.08 MBytes  17.4 Mbits/sec    5   60.8 KBytes       
[  4] 40660.00-40661.00 sec  2.08 MBytes  17.4 Mbits/sec    1   82.0 KBytes       
[  4] 40661.00-40662.00 sec  2.26 MBytes  18.9 Mbits/sec    0    100 KBytes       
[  4] 40662.00-40663.00 sec  1.90 MBytes  15.9 Mbits/sec    0    115 KBytes       
[  4] 40663.00-40664.00 sec  1.96 MBytes  16.4 Mbits/sec    2   97.6 KBytes       
[  4] 40664.00-40665.00 sec  2.02 MBytes  16.9 Mbits/sec    0    112 KBytes       
[  4] 40665.00-40666.00 sec  2.32 MBytes  19.4 Mbits/sec    1   94.7 KBytes       
[  4] 40666.00-40667.00 sec  2.55 MBytes  21.4 Mbits/sec    1   87.7 KBytes       
[  4] 40667.00-40668.00 sec  2.55 MBytes  21.4 Mbits/sec    0    107 KBytes       
[  4] 40668.00-40669.00 sec  2.14 MBytes  17.9 Mbits/sec   14   62.2 KBytes       
[  4] 40669.00-40670.00 sec  1.84 MBytes  15.4 Mbits/sec    1   79.2 KBytes       
[  4] 40670.00-40671.00 sec  2.38 MBytes  19.9 Mbits/sec    6   74.9 KBytes       
[  4] 40671.00-40672.00 sec  2.38 MBytes  19.9 Mbits/sec    0   97.6 KBytes       
[  4] 40672.00-40673.00 sec  2.26 MBytes  18.9 Mbits/sec   13   46.7 KBytes       
[  4] 40673.00-40674.00 sec  2.26 MBytes  18.9 Mbits/sec    0   77.8 KBytes       
[  4] 40674.00-40675.00 sec  2.08 MBytes  17.4 Mbits/sec    4   67.9 KBytes       
[  4] 40675.00-40676.00 sec  2.02 MBytes  16.9 Mbits/sec    0   87.7 KBytes       
[  4] 40676.00-40677.00 sec  1.54 MBytes  13.0 Mbits/sec    0   99.0 KBytes       
[  4] 40677.00-40678.00 sec  2.20 MBytes  18.4 Mbits/sec    0    116 KBytes       
[  4] 40678.00-40679.00 sec  2.38 MBytes  19.9 Mbits/sec    9   99.0 KBytes       
[  4] 40679.00-40680.00 sec  2.02 MBytes  16.9 Mbits/sec    1    112 KBytes       
[  4] 40680.00-40681.00 sec  1.96 MBytes  16.4 Mbits/sec    1   94.7 KBytes       
[  4] 40681.00-40682.00 sec  2.20 MBytes  18.4 Mbits/sec    0    109 KBytes       
[  4] 40682.00-40683.00 sec  2.38 MBytes  19.9 Mbits/sec    7   89.1 KBytes       
[  4] 40683.00-40684.00 sec  1.43 MBytes  12.0 Mbits/sec   14   74.9 KBytes       
[  4] 40684.00-40685.00 sec  2.20 MBytes  18.4 Mbits/sec    0   94.7 KBytes       
[  4] 40685.00-40686.00 sec  2.38 MBytes  19.9 Mbits/sec    5   80.6 KBytes       
[  4] 40686.00-40687.00 sec  2.20 MBytes  18.4 Mbits/sec    4   73.5 KBytes       
[  4] 40687.00-40688.00 sec  2.02 MBytes  16.9 Mbits/sec    0   93.3 KBytes       
[  4] 40688.00-40689.00 sec  2.20 MBytes  18.4 Mbits/sec    1   99.0 KBytes       
[  4] 40689.00-40690.00 sec  2.32 MBytes  19.4 Mbits/sec    1   79.2 KBytes       
[  4] 40690.00-40691.00 sec  2.20 MBytes  18.4 Mbits/sec    0   96.2 KBytes       
[  4] 40691.00-40692.00 sec  2.26 MBytes  18.9 Mbits/sec    0    113 KBytes       
[  4] 40692.00-40693.00 sec  2.26 MBytes  18.9 Mbits/sec    2   97.6 KBytes       
[  4] 40693.00-40694.00 sec  2.02 MBytes  16.9 Mbits/sec   15   77.8 KBytes       
[  4] 40694.00-40695.00 sec  1.96 MBytes  16.4 Mbits/sec    0   94.7 KBytes       
[  4] 40695.00-40696.00 sec  1.96 MBytes  16.4 Mbits/sec   11   80.6 KBytes       
[  4] 40696.00-40697.00 sec  2.08 MBytes  17.4 Mbits/sec    1   69.3 KBytes       
[  4] 40697.00-40698.00 sec  1.84 MBytes  15.4 Mbits/sec    1   70.7 KBytes       
[  4] 40698.00-40699.00 sec  2.20 MBytes  18.4 Mbits/sec    0   90.5 KBytes       
[  4] 40699.00-40700.00 sec  2.32 MBytes  19.4 Mbits/sec    0    109 KBytes       
[  4] 40700.00-40701.00 sec  2.32 MBytes  19.4 Mbits/sec    0    124 KBytes       
[  4] 40701.00-40702.00 sec  2.32 MBytes  19.4 Mbits/sec    4   93.3 KBytes       
[  4] 40702.00-40703.00 sec  2.26 MBytes  18.9 Mbits/sec    1    110 KBytes       
[  4] 40703.00-40704.00 sec  1.72 MBytes  14.4 Mbits/sec    3   89.1 KBytes       
[  4] 40704.00-40705.00 sec  2.02 MBytes  16.9 Mbits/sec   15   38.2 KBytes       
[  4] 40705.00-40706.00 sec  1.78 MBytes  14.9 Mbits/sec    5   69.3 KBytes       
[  4] 40706.00-40707.00 sec  2.20 MBytes  18.4 Mbits/sec    1   89.1 KBytes       
[  4] 40707.00-40708.00 sec  2.14 MBytes  17.9 Mbits/sec    0    106 KBytes       
[  4] 40708.00-40709.00 sec  2.20 MBytes  18.4 Mbits/sec    4   89.1 KBytes       
[  4] 40709.00-40710.00 sec  2.32 MBytes  19.4 Mbits/sec    1   83.4 KBytes       
[  4] 40710.00-40711.00 sec  2.20 MBytes  18.4 Mbits/sec   13   72.1 KBytes       
[  4] 40711.00-40712.00 sec  2.08 MBytes  17.4 Mbits/sec    7   59.4 KBytes       
[  4] 40712.00-40713.00 sec  1.90 MBytes  15.9 Mbits/sec    0   79.2 KBytes       
[  4] 40713.00-40714.00 sec  2.14 MBytes  17.9 Mbits/sec   14   42.4 KBytes       
[  4] 40714.00-40715.00 sec  1.96 MBytes  16.4 Mbits/sec    5   66.5 KBytes       
[  4] 40715.00-40716.00 sec  1.90 MBytes  15.9 Mbits/sec    8   58.0 KBytes       
[  4] 40716.00-40717.00 sec  1.66 MBytes  14.0 Mbits/sec    0   74.9 KBytes       
[  4] 40717.00-40718.00 sec  1.90 MBytes  15.9 Mbits/sec    0   91.9 KBytes       
[  4] 40718.00-40719.00 sec  1.96 MBytes  16.4 Mbits/sec    1   80.6 KBytes       
[  4] 40719.00-40720.00 sec  2.14 MBytes  17.9 Mbits/sec    0   99.0 KBytes       
[  4] 40720.00-40721.00 sec  2.26 MBytes  18.9 Mbits/sec    1   83.4 KBytes       
[  4] 40721.00-40722.00 sec  1.90 MBytes  15.9 Mbits/sec    0   99.0 KBytes       
[  4] 40722.00-40723.00 sec  2.32 MBytes  19.4 Mbits/sec    7   60.8 KBytes       
[  4] 40723.00-40724.00 sec  2.02 MBytes  16.9 Mbits/sec    0   80.6 KBytes       
[  4] 40724.00-40725.00 sec  1.84 MBytes  15.4 Mbits/sec    7   73.5 KBytes       
[  4] 40725.00-40726.00 sec  1.90 MBytes  15.9 Mbits/sec    2   89.1 KBytes       
[  4] 40726.00-40727.00 sec  1.84 MBytes  15.4 Mbits/sec    0    105 KBytes       
[  4] 40727.00-40728.00 sec  1.96 MBytes  16.4 Mbits/sec    0    119 KBytes       
[  4] 40728.00-40729.00 sec  2.02 MBytes  16.9 Mbits/sec   34   65.0 KBytes       
[  4] 40729.00-40730.00 sec  2.26 MBytes  18.9 Mbits/sec    1   84.8 KBytes       
[  4] 40730.00-40731.00 sec  1.31 MBytes  11.0 Mbits/sec   11   45.2 KBytes       
[  4] 40731.00-40732.00 sec  1.60 MBytes  13.5 Mbits/sec    0   66.5 KBytes       
[  4] 40732.00-40733.00 sec  1.96 MBytes  16.4 Mbits/sec    1   83.4 KBytes       
[  4] 40733.00-40734.00 sec  2.20 MBytes  18.4 Mbits/sec   14   66.5 KBytes       
[  4] 40734.00-40735.00 sec  2.26 MBytes  18.9 Mbits/sec    5   63.6 KBytes       
[  4] 40735.00-40736.00 sec  2.14 MBytes  17.9 Mbits/sec    8   62.2 KBytes       
[  4] 40736.00-40737.00 sec  2.20 MBytes  18.4 Mbits/sec    0   84.8 KBytes       
[  4] 40737.00-40738.00 sec  2.14 MBytes  17.9 Mbits/sec    6   69.3 KBytes       
[  4] 40738.00-40739.00 sec  2.02 MBytes  16.9 Mbits/sec    2   66.5 KBytes       
[  4] 40739.00-40740.00 sec  1.54 MBytes  13.0 Mbits/sec    1   80.6 KBytes       
[  4] 40740.00-40741.00 sec  1.90 MBytes  15.9 Mbits/sec    0   97.6 KBytes       
[  4] 40741.00-40742.00 sec  1.66 MBytes  14.0 Mbits/sec   15   59.4 KBytes       
[  4] 40742.00-40743.00 sec  1.84 MBytes  15.4 Mbits/sec    1   55.1 KBytes       
[  4] 40743.00-40744.00 sec  1.84 MBytes  15.4 Mbits/sec    0   76.4 KBytes       
[  4] 40744.00-40745.00 sec  1.78 MBytes  14.9 Mbits/sec    6   63.6 KBytes       
[  4] 40745.00-40746.00 sec  2.32 MBytes  19.4 Mbits/sec    2   69.3 KBytes       
[  4] 40746.00-40747.00 sec  2.26 MBytes  18.9 Mbits/sec    2   65.0 KBytes       
[  4] 40747.00-40748.00 sec  1.96 MBytes  16.4 Mbits/sec    2   82.0 KBytes       
[  4] 40748.00-40749.00 sec  1.13 MBytes  9.46 Mbits/sec   12   66.5 KBytes       
[  4] 40749.00-40750.00 sec  2.02 MBytes  16.9 Mbits/sec    0   86.3 KBytes       
[  4] 40750.00-40751.00 sec  1.54 MBytes  13.0 Mbits/sec    2   94.7 KBytes       
[  4] 40751.00-40752.00 sec  2.49 MBytes  20.9 Mbits/sec    7   62.2 KBytes       
[  4] 40752.00-40753.00 sec  2.02 MBytes  16.9 Mbits/sec    0   83.4 KBytes       
[  4] 40753.00-40754.00 sec  2.08 MBytes  17.4 Mbits/sec    2   55.1 KBytes       
[  4] 40754.00-40755.00 sec  1.84 MBytes  15.4 Mbits/sec   18   63.6 KBytes       
[  4] 40755.00-40756.00 sec  1.54 MBytes  13.0 Mbits/sec    0   80.6 KBytes       
[  4] 40756.00-40757.00 sec  2.14 MBytes  17.9 Mbits/sec    1   74.9 KBytes       
[  4] 40757.00-40758.00 sec  2.20 MBytes  18.4 Mbits/sec    0   93.3 KBytes       
[  4] 40758.00-40759.00 sec  2.20 MBytes  18.4 Mbits/sec    5   76.4 KBytes       
[  4] 40759.00-40760.00 sec  2.08 MBytes  17.4 Mbits/sec    1   74.9 KBytes       
[  4] 40760.00-40761.00 sec  1.96 MBytes  16.4 Mbits/sec    1   91.9 KBytes       
[  4] 40761.00-40762.00 sec  2.08 MBytes  17.4 Mbits/sec    0    109 KBytes       
[  4] 40762.00-40763.00 sec  2.32 MBytes  19.4 Mbits/sec    1   86.3 KBytes       
[  4] 40763.00-40764.00 sec  1.96 MBytes  16.4 Mbits/sec    5   74.9 KBytes       
[  4] 40764.00-40765.00 sec  2.08 MBytes  17.4 Mbits/sec    8   70.7 KBytes       
[  4] 40765.00-40766.00 sec  1.78 MBytes  14.9 Mbits/sec    9   62.2 KBytes       
[  4] 40766.00-40767.00 sec  2.14 MBytes  17.9 Mbits/sec    0   83.4 KBytes       
[  4] 40767.00-40768.00 sec  2.08 MBytes  17.4 Mbits/sec    1   99.0 KBytes       
[  4] 40768.00-40769.00 sec  2.20 MBytes  18.4 Mbits/sec    8   39.6 KBytes       
[  4] 40769.00-40770.00 sec  2.32 MBytes  19.4 Mbits/sec    0   83.4 KBytes       
[  4] 40770.00-40771.00 sec  2.20 MBytes  18.4 Mbits/sec   10   77.8 KBytes       
[  4] 40771.00-40772.00 sec  2.14 MBytes  17.9 Mbits/sec    1   66.5 KBytes       
[  4] 40772.00-40773.00 sec  2.20 MBytes  18.4 Mbits/sec    5   74.9 KBytes       
[  4] 40773.00-40774.00 sec  2.02 MBytes  16.9 Mbits/sec    0   93.3 KBytes       
[  4] 40774.00-40775.00 sec  2.32 MBytes  19.4 Mbits/sec   50   28.3 KBytes       
[  4] 40775.00-40776.00 sec  1.13 MBytes  9.46 Mbits/sec   62   18.4 KBytes       
[  4] 40776.00-40777.00 sec  1.25 MBytes  10.5 Mbits/sec   58   9.90 KBytes       
[  4] 40777.00-40778.00 sec  1.78 MBytes  14.9 Mbits/sec   12   45.2 KBytes       
[  4] 40778.00-40779.00 sec  2.08 MBytes  17.4 Mbits/sec    3   69.3 KBytes       
[  4] 40779.00-40780.00 sec  2.26 MBytes  18.9 Mbits/sec    6   38.2 KBytes       
[  4] 40780.00-40781.00 sec  1.90 MBytes  15.9 Mbits/sec    2   52.3 KBytes       
[  4] 40781.00-40782.00 sec   790 KBytes  6.48 Mbits/sec   38   46.7 KBytes       
[  4] 40782.00-40783.00 sec  1.78 MBytes  14.9 Mbits/sec    1   67.9 KBytes       
[  4] 40783.00-40784.00 sec  1.19 MBytes  9.96 Mbits/sec    0   67.9 KBytes       
[  4] 40784.00-40785.00 sec  1.25 MBytes  10.5 Mbits/sec    3   97.6 KBytes       
[  4] 40785.00-40786.00 sec  1.96 MBytes  16.4 Mbits/sec    5    105 KBytes       
[  4] 40786.00-40787.00 sec  2.08 MBytes  17.4 Mbits/sec    2   63.6 KBytes       
[  4] 40787.00-40788.00 sec  2.26 MBytes  18.9 Mbits/sec    1   66.5 KBytes       
[  4] 40788.00-40789.00 sec  2.55 MBytes  21.4 Mbits/sec    5   62.2 KBytes       
[  4] 40789.00-40790.00 sec  2.14 MBytes  17.9 Mbits/sec    0   83.4 KBytes       
[  4] 40790.00-40791.00 sec  2.49 MBytes  20.9 Mbits/sec    4   77.8 KBytes       
[  4] 40791.00-40792.00 sec  1.96 MBytes  16.4 Mbits/sec    0   96.2 KBytes       
[  4] 40792.00-40793.00 sec  1.96 MBytes  16.4 Mbits/sec    7   76.4 KBytes       
[  4] 40793.00-40794.00 sec  2.26 MBytes  18.9 Mbits/sec    1   65.0 KBytes       
[  4] 40794.00-40795.00 sec  1.48 MBytes  12.5 Mbits/sec    3   43.8 KBytes       
[  4] 40795.00-40796.00 sec  2.20 MBytes  18.4 Mbits/sec    0   70.7 KBytes       
[  4] 40796.00-40797.00 sec  2.38 MBytes  19.9 Mbits/sec    1   91.9 KBytes       
[  4] 40797.00-40798.00 sec  2.02 MBytes  16.9 Mbits/sec    4   74.9 KBytes       
[  4] 40798.00-40799.00 sec  1.72 MBytes  14.4 Mbits/sec    0   94.7 KBytes       
[  4] 40799.00-40800.00 sec  2.32 MBytes  19.4 Mbits/sec    4    106 KBytes       
[  4] 40800.00-40801.00 sec  2.49 MBytes  20.9 Mbits/sec   12   66.5 KBytes       
[  4] 40801.00-40802.00 sec  1.54 MBytes  13.0 Mbits/sec   11   56.6 KBytes       
[  4] 40802.00-40803.00 sec  1.84 MBytes  15.4 Mbits/sec    1   76.4 KBytes       
[  4] 40803.00-40804.00 sec  2.02 MBytes  16.9 Mbits/sec    6   74.9 KBytes       
[  4] 40804.00-40805.00 sec  2.02 MBytes  16.9 Mbits/sec    1   79.2 KBytes       
[  4] 40805.00-40806.00 sec  2.02 MBytes  16.9 Mbits/sec    0   87.7 KBytes       
[  4] 40806.00-40807.00 sec  2.02 MBytes  16.9 Mbits/sec    2   76.4 KBytes       
[  4] 40807.00-40808.00 sec  1.84 MBytes  15.4 Mbits/sec    1   91.9 KBytes       
[  4] 40808.00-40809.00 sec  2.26 MBytes  18.9 Mbits/sec    0    109 KBytes       
[  4] 40809.00-40810.00 sec  2.20 MBytes  18.4 Mbits/sec   14   65.0 KBytes       
[  4] 40810.00-40811.00 sec  2.26 MBytes  18.9 Mbits/sec    0   87.7 KBytes       
[  4] 40811.00-40812.00 sec  2.02 MBytes  16.9 Mbits/sec    1    103 KBytes       
[  4] 40812.00-40813.00 sec  1.90 MBytes  15.9 Mbits/sec    0    116 KBytes       
[  4] 40813.00-40814.00 sec  1.90 MBytes  15.9 Mbits/sec   10   89.1 KBytes       
[  4] 40814.00-40815.00 sec  1.90 MBytes  15.9 Mbits/sec   14   76.4 KBytes       
[  4] 40815.00-40816.00 sec  1.72 MBytes  14.4 Mbits/sec    0   90.5 KBytes       
[  4] 40816.00-40817.00 sec  2.32 MBytes  19.4 Mbits/sec    0    107 KBytes       
[  4] 40817.00-40818.00 sec  2.32 MBytes  19.4 Mbits/sec    6   89.1 KBytes       
[  4] 40818.00-40819.00 sec  2.20 MBytes  18.4 Mbits/sec    0    105 KBytes       
[  4] 40819.00-40820.00 sec  1.66 MBytes  13.9 Mbits/sec   13   79.2 KBytes       
[  4] 40820.00-40821.00 sec  2.14 MBytes  17.9 Mbits/sec    0    100 KBytes       
[  4] 40821.00-40822.00 sec  2.02 MBytes  16.9 Mbits/sec    3   83.4 KBytes       
[  4] 40822.00-40823.00 sec  2.20 MBytes  18.4 Mbits/sec    0    102 KBytes       
[  4] 40823.00-40824.00 sec  2.08 MBytes  17.4 Mbits/sec    0    116 KBytes       
[  4] 40824.00-40825.00 sec  1.90 MBytes  15.9 Mbits/sec    1    129 KBytes       
[  4] 40825.00-40826.00 sec  0.00 Bytes  0.00 bits/sec   11   14.1 KBytes       
[  4] 40826.00-40827.00 sec   365 KBytes  2.99 Mbits/sec   82   24.0 KBytes       
[  4] 40827.00-40828.00 sec  1.19 MBytes  9.97 Mbits/sec    2   58.0 KBytes       
[  4] 40828.00-40829.00 sec  1.72 MBytes  14.4 Mbits/sec    0   76.4 KBytes       
[  4] 40829.00-40830.00 sec  2.08 MBytes  17.4 Mbits/sec    2   93.3 KBytes       
[  4] 40830.00-40831.00 sec  2.02 MBytes  16.9 Mbits/sec    0    109 KBytes       
[  4] 40831.00-40832.00 sec  2.02 MBytes  16.9 Mbits/sec    1    120 KBytes       
[  4] 40832.00-40833.00 sec  2.02 MBytes  16.9 Mbits/sec    2    100 KBytes       
[  4] 40833.00-40834.00 sec  2.02 MBytes  16.9 Mbits/sec    1    113 KBytes       
[  4] 40834.00-40835.00 sec  1.72 MBytes  14.4 Mbits/sec    3   87.7 KBytes       
[  4] 40835.00-40836.00 sec  1.90 MBytes  15.9 Mbits/sec    1    106 KBytes       
[  4] 40836.00-40837.00 sec  2.26 MBytes  18.9 Mbits/sec    2    117 KBytes       
[  4] 40837.00-40838.00 sec  1.78 MBytes  14.9 Mbits/sec   21   70.7 KBytes       
[  4] 40838.00-40839.00 sec  1.90 MBytes  15.9 Mbits/sec    0   89.1 KBytes       
[  4] 40839.00-40840.00 sec  2.20 MBytes  18.4 Mbits/sec    0    106 KBytes       
[  4] 40840.00-40841.00 sec  2.20 MBytes  18.4 Mbits/sec    0    120 KBytes       
[  4] 40841.00-40842.00 sec  2.55 MBytes  21.4 Mbits/sec    6   96.2 KBytes       
[  4] 40842.00-40843.00 sec  2.14 MBytes  17.9 Mbits/sec    9   67.9 KBytes       
[  4] 40843.00-40844.00 sec  2.08 MBytes  17.4 Mbits/sec    2   69.3 KBytes       
[  4] 40844.00-40845.00 sec  2.20 MBytes  18.4 Mbits/sec    0   90.5 KBytes       
[  4] 40845.00-40846.00 sec  2.08 MBytes  17.4 Mbits/sec    0    107 KBytes       
[  4] 40846.00-40847.00 sec  1.96 MBytes  16.4 Mbits/sec    1   89.1 KBytes       
[  4] 40847.00-40848.00 sec  2.26 MBytes  18.9 Mbits/sec    8   74.9 KBytes       
[  4] 40848.00-40849.00 sec  2.02 MBytes  16.9 Mbits/sec    0   93.3 KBytes       
[  4] 40849.00-40850.00 sec  1.66 MBytes  13.9 Mbits/sec    4    102 KBytes       
[  4] 40850.00-40851.00 sec  2.08 MBytes  17.4 Mbits/sec    0    116 KBytes       
[  4] 40851.00-40852.00 sec  2.14 MBytes  17.9 Mbits/sec    0    130 KBytes       
[  4] 40852.00-40853.00 sec  2.20 MBytes  18.4 Mbits/sec    2    100 KBytes       
[  4] 40853.00-40854.00 sec  2.20 MBytes  18.4 Mbits/sec    0    100 KBytes       
[  4] 40854.00-40855.00 sec  1.84 MBytes  15.4 Mbits/sec    3   82.0 KBytes       
[  4] 40855.00-40856.00 sec  2.38 MBytes  19.9 Mbits/sec    6   80.6 KBytes       
[  4] 40856.00-40857.00 sec  2.32 MBytes  19.4 Mbits/sec    1   99.0 KBytes       
[  4] 40857.00-40858.00 sec  2.26 MBytes  18.9 Mbits/sec   13   83.4 KBytes       
